SRS	Average read length	Average read quality
ERS2227367	7217.59	0.00
ERS2227382	7323.77	0.00
ERS2227386	11344.87	0.00
ERS2227473	7755.46	0.00
ERS2580766	10188.32	0.00
ERS2699787	10041.32	0.00
ERS2760315	10972.60	0.00
ERS3116761	10875.88	0.00
ERS3147220	11573.71	0.00
ERS3171745	12537.35	0.00
ERS3189059	11244.32	0.00
ERS3203796	12759.36	0.00
ERS3268290	9931.96	0.00
ERS3378290	9643.75	0.00
ERS3500634	11704.11	0.00
ERS3513902	12103.73	0.00
ERS3514420	16628.10	0.00
ERS3549782	9734.99	0.00
ERS3567199	6567.42	0.00
ERS3567200	10489.51	0.00
ERS3567209	10509.15	0.00
ERS3567211	13636.74	0.00
ERS3583622	8924.92	0.00
ERS3583638	13321.86	0.00
ERS3615885	10861.95	0.00
ERS3701069	14337.16	0.00
ERS3701070	8155.08	0.00
ERS3701071	12977.87	0.00
ERS3734118	17117.63	0.00
ERS5917499	21718.49	0.00
SRS11194276	28846.47	0.00
SRS12977579	15126.91	30.46
SRS16702801	14206.41	32.54
SRS18387290	15159.06	0.00
SRS18387422	17462.46	0.00
SRS18387423	14039.62	31.12
SRS18387424	19061.10	0.00
SRS18388105	16420.09	29.56
SRS18388510	12484.79	0.00
SRS18391120	22760.38	0.00
SRS18391197	20862.21	0.00
SRS18391974	15782.98	0.00
SRS18392123	14601.28	0.00
SRS18622707	16104.83	0.00
SRS18622751	16947.33	0.00
SRS18622764	14964.29	30.94
SRS18623166	12237.70	0.00
SRS18625225	23159.99	0.00
SRS18670860	9805.44	0.00
SRS18671020	13328.97	0.00
SRS18671806	19778.53	0.00
SRS18671885	14087.26	0.00
SRS18673187	15487.32	32.07
SRS18685773	10746.94	0.00
SRS18687178	12639.76	0.00
SRS18687383	16370.73	0.00
SRS18688280	18290.46	0.00
SRS18688324	16795.57	0.00
SRS18688442	16488.97	0.00
SRS18688455	16666.68	0.00
SRS18688459	15516.80	0.00
SRS18688464	12060.21	0.00
SRS18688465	8390.05	0.00
SRS18688466	17010.61	30.31
SRS18688503	19647.86	0.00
SRS18688724	18849.45	0.00
SRS18689089	9460.85	0.00
SRS18690682	17993.66	29.38
SRS18691296	16078.54	29.32
SRS18691297	14133.36	31.60
SRS18691430	16357.50	29.84
SRS18698473	12300.20	0.00
SRS18698474	20055.66	0.00
SRS18698475	10450.43	0.00
SRS18698677	12339.27	0.00
SRS18698731	9545.66	0.00
SRS18698838	14677.91	0.00
SRS18698839	9843.50	0.00
SRS18698840	14657.13	0.00
SRS18698910	8859.44	0.00
SRS18698971	12118.14	33.77
SRS18698972	12843.89	0.00
SRS18698984	19448.36	0.00
SRS18699572	13610.45	0.00
SRS18700101	12710.89	0.00
SRS18700170	18833.01	0.00
SRS18701202	22746.26	0.00
SRS18702569	21839.43	0.00
SRS18702625	14736.59	31.24
SRS18703246	16199.94	0.00
SRS18703510	17432.34	0.00
SRS18703581	18648.32	0.00
SRS18703584	14231.89	0.00
SRS18705600	14365.96	0.00
SRS18705814	20208.01	0.00
SRS18706220	18067.19	0.00
SRS18706227	20038.11	0.00
SRS18706229	15550.08	0.00
SRS18706230	12817.11	0.00
SRS18707617	15574.30	0.00
SRS18707787	16236.81	0.00
SRS18708107	12946.51	35.75
SRS19335846	21363.55	30.84
SRS19335847	9907.20	40.18
SRS20361216	12004.59	0.00
SRS20361217	13921.16	0.00
SRS20361218	15701.73	0.00
SRS20361228	23167.73	0.00
SRS20621690	13835.83	0.00
SRS20636215	15260.25	33.61
SRS20796967	15604.32	0.00
SRS20814929	13139.24	0.00
SRS20912660	16152.63	29.48
SRS20951933	17221.10	32.35
SRS21073825	12879.74	34.72
SRS21074085	15139.52	33.35
SRS21325765	16527.48	34.46
SRS21399688	21465.45	30.56
SRS21532263	11855.14	34.58
SRS21630863	19003.38	31.73
SRS22034062	16385.33	25.31
SRS22089914	15039.14	25.99
SRS22091781	8632.98	29.53
SRS22092194	14743.48	33.33
SRS22092787	16952.17	31.92
SRS22095216	15193.47	34.21
SRS22097845	11365.31	37.98
SRS22099175	14700.58	33.84
SRS22127337	12549.54	28.00
SRS22136032	14667.40	35.33
SRS22136710	20922.86	31.22
SRS22136747	20192.16	30.53
SRS22136854	14074.41	37.25
SRS22161852	7770.30	30.88
SRS22162627	14069.09	27.87
SRS22162649	15772.94	31.10
SRS22162650	9931.15	31.00
SRS22165637	17890.31	32.00
SRS22167509	20844.74	31.88
SRS22177699	16149.00	32.34
SRS22178101	17571.16	31.56
SRS22219854	14920.46	34.90
SRS22255942	15366.14	32.58
SRS22258962	18486.89	31.10
SRS22259025	16385.15	33.24
SRS22260196	15096.96	33.48
SRS22269748	14760.14	32.75
SRS22270863	18837.32	32.25
SRS22271563	21874.92	30.98
SRS22286734	17889.89	26.26
SRS22289212	15646.42	33.75
SRS22326089	15059.61	31.44
SRS22331154	16300.61	32.65
SRS22332403	17064.19	33.38
SRS22342674	17109.72	31.40
SRS22396567	11503.33	35.55
SRS22397789	14084.50	33.23
SRS22398101	16453.24	32.06
SRS22399813	14656.81	32.78
SRS22400393	13546.47	33.88
SRS22403591	16858.14	31.90
SRS22403596	15574.55	33.95
SRS22403630	23500.10	30.34
SRS22419235	17291.58	32.63
SRS22448716	16277.95	32.30
SRS22448717	18921.78	30.67
SRS22449079	17401.12	32.12
SRS22449080	16295.82	32.59
SRS22449081	15015.75	32.51
SRS23022192	6744.46	30.15
SRS6014674	8484.80	0.00
SRS6121272	15447.07	0.00
SRS6502248	10575.26	0.00
SRS6571162	7945.53	0.00
SRS6618859	8433.24	0.00
SRS6620782	11264.58	0.00
SRS6645959	9492.96	0.00
SRS6649054	9705.85	0.00
SRS8103732	13394.43	0.00
SRS917918	12023.10	0.00
