Title	Sample@acc	Run@acc	Experiment@acc	Experiment@name	Study@name	Platform	instrument_model	LIBRARY_NAME	LIBRARY_STRATEGY	LIBRARY_SOURCE	LIBRARY_SELECTION	Statistics@total_bases	Unnamed: 13	Platform (Sequel/Sequel II/Revio)	Type (CLR/HiFi)
Sequel sequencing	ERS2227367	ERR2213485	ERX2267839	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	18587000	WGS	GENOMIC	RANDOM	2149980451		Sequel	CLR
Sequel sequencing	ERS2227367	ERR2213484	ERX2267838	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	18587000	WGS	GENOMIC	RANDOM	5288746753		Sequel	CLR
Sequel sequencing	ERS2227367	ERR2213483	ERX2267837	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	18587000	WGS	GENOMIC	RANDOM	5285372673		Sequel	CLR
Sequel sequencing	ERS2227367	ERR2213482	ERX2267836	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	18587000	WGS	GENOMIC	RANDOM	3863230253		Sequel	CLR
Sequel sequencing	ERS2227367	ERR2213481	ERX2267835	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	18587000	WGS	GENOMIC	RANDOM	3424973407		Sequel	CLR
Sequel sequencing	ERS2227367	ERR2213480	ERX2267834	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	18587000	WGS	GENOMIC	RANDOM	3040213202		Sequel	CLR
Sequel sequencing	ERS2227367	ERR2213479	ERX2267833	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	18587000	WGS	GENOMIC	RANDOM	3694980817		Sequel	CLR
Sequel sequencing	ERS2227367	ERR2213478	ERX2267832	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	18587000	WGS	GENOMIC	RANDOM	3108691727		Sequel	CLR
Sequel sequencing	ERS2227382	ERR2213525	ERX2267879	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	19736638	WGS	GENOMIC	RANDOM	5314345870		Sequel	CLR
Sequel sequencing	ERS2227382	ERR2213524	ERX2267878	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	19736638	WGS	GENOMIC	RANDOM	2979364774		Sequel	CLR
Sequel sequencing	ERS2227382	ERR2213523	ERX2267877	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	19736638	WGS	GENOMIC	RANDOM	3600799923		Sequel	CLR
Sequel sequencing	ERS2227382	ERR2213522	ERX2267876	Sequel sequencing	Vertebrate_Genome_Project_FISH	PACBIO_SMRT	Sequel	19736638	WGS	GENOMIC	RANDOM	4726277091		Sequel	CLR
