SRS	Average Length	Average quality	Instrument
ERS2227367	7206.723333333332	0	Sequel
ERS2227382	7338.295999999999	0	Sequel
ERS2227386	11288.29125	0	Sequel
ERS2227473	7883.832	0	Sequel
ERS2580766	10067.160740740741	0	Sequel
ERS2699787	9896.538392857143	0	Sequel
ERS2760315	10976.61875	0	Sequel
ERS3116761	10900.68142857143	0	Sequel
ERS3147220	11544.358333333332	0	Sequel
ERS3171745	12601.526666666667	0	Sequel
ERS3189059	11283.291363636365	0	Sequel
ERS3203796	13006.97875	0	Sequel
ERS3268290	9838.09	0	Sequel
ERS3378290	10047.294642857143	0	Sequel
ERS3500634	11861.092499999999	0	Sequel
ERS3513902	11804.582	0	Sequel
ERS3514420	16936.4825	0	Sequel
ERS3549782	9786.939387755103	0	Sequel
ERS3567197	16446.20565217391	0	Sequel
ERS3567199	6598.6575	0	Sequel
ERS3567200	10990.713333333333	0	Sequel
ERS3567209	10605.307777777778	0	Sequel
ERS3567211	13694.63625	0	Sequel
ERS3583622	8957.8205	0	Sequel
ERS3583638	13477.953333333333	0	Sequel
ERS3615885	11033.088055555556	0	Sequel
ERS3701069	14370.462857142858	0	Sequel
ERS3701070	10744.72153846154	0	Sequel
ERS3701071	13021.57125	0	Sequel
ERS3734118	17135.052000000003	0	Sequel
ERS4354975	14719.9	54.50833333333333	Sequel II
ERS5917499	21718.805	0	Sequel II
ERS6428380	8037.845	81.88	Sequel II
ERS6428385	8212.74	81.975	Sequel II
ERS6484570	10563.568	80.934	Sequel II
SRS10850813	19389.31428571429	0	Sequel II
SRS11194276	28846.47	0	Sequel II
SRS12953177	19058.3525	51.785000000000004	Sequel II
SRS12977579	15126.91	76.91	Sequel II
SRS16702801	13945.552	63.20399999999999	Sequel II
SRS18002895	10083.85875	40.455	Sequel II
SRS18387290	15392.804166666667	0	Sequel II
SRS18387422	17500.718	0	Sequel II
SRS18387423	14040.113000000001	38.719	Sequel II
SRS18387424	19148.835555555557	0	Sequel II
SRS18388105	15841.792727272727	48.29363636363637	Sequel II
SRS18388114	14176.33625	0	Sequel II
SRS18388510	12511.39	0	Sequel II
SRS18391120	22570.3425	0	Sequel II
SRS18391197	20661.89	0	Sequel II
SRS18391974	15882.74	0	Sequel II
SRS18392123	12646.84	0	Sequel II
SRS18617237	11162.726666666667	80.77	Sequel II
SRS18622706	8225.318235294118	93	Sequel II
SRS18622707	16114.017777777779	0	Sequel II
SRS18622751	16947.33	0	Sequel II
SRS18622764	13496.7675	39.135	Sequel II
SRS18623166	12319.71875	0	Sequel II
SRS18625225	23159.99	0	Sequel II
SRS18670860	9836.079231	0	Sequel II
SRS18671020	13366.168	0	Sequel II
SRS18671806	19917.057999999997	0	Sequel II
SRS18671885	14106.8875	0	Sequel II
SRS18673187	14985.871666666666	39.09166666666667	Sequel II
SRS18685773	10822.585714285715	0	Sequel II
SRS18687178	12658.29	0	Sequel II
SRS18687383	16630.564	0	Sequel II
SRS18688280	18646.496666666666	0	Sequel II
SRS18688324	16795.57	0	Sequel II
SRS18688442	16566.615555555556	0	Sequel II
SRS18688455	17089.01	0	Sequel II
SRS18688459	15516.8	0	Sequel II
SRS18688464	12057.095714285713	0	Sequel II
SRS18688465	8507.4308	0	Sequel II
SRS18688466	15509.564999999999	38.531	Sequel II
SRS18688503	19612.775555555552	0	Sequel II
SRS18688724	18822.77	0	Sequel II
SRS18689089	9424.905	0	Sequel II
SRS18690681	13935.189999999999	48.016000000000005	Sequel II
SRS18690682	16190.325	37.762	Sequel II
SRS18691296	12789.894444444444	37.47833333333333	Sequel II
SRS18691297	14707.326666666668	52.27333333333333	Sequel II
SRS18691430	14269.533333333333	37.78416666666667	Sequel II
SRS18698473	11629.69	0	Sequel II
SRS18698474	20121.833000000002	0	Sequel II
SRS18698475	10461.384	0	Sequel II
SRS18698677	12169.498571428572	0	Sequel II
SRS18698731	9548.384285714286	0	Sequel II
SRS18698838	14675.71625	0	Sequel II
SRS18698839	9602.478571428572	0	Sequel II
SRS18698840	14667.556666666665	0	Sequel II
SRS18698910	8641.868	0	Sequel II
SRS18698971	12084.009999999998	40.725	Sequel II
